State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Households_with_Internet,Sex_ratio,literacy_rate
Uttar Pradesh,Saharanpur,30.03381165,77.59905148,132,3466382,1834106,1632276,2077108,9699,88.99572871,59.9214974
Uttar Pradesh,Sant Kabir Nagar,26.79159652,83.03877643,186,1715183,869656,845527,954949,2031,97.22545466,55.67621647
Uttar Pradesh,Shahjahanpur,27.99138935,79.83022753,152,3006538,1606403,1400135,1490930,3889,87.15963553,49.58959441
Uttar Pradesh,Sitapur,27.50199596,80.85288881,154,4483992,2375264,2108728,2283733,3874,88.77867892,50.93080005
Uttar Pradesh,Sonbhadra,24.46693269,83.06816325,200,1862559,971344,891215,985708,5149,91.7507083,52.922243
Uttar Pradesh,Sultanpur,26.28463864,82.05710457,179,3797117,1914586,1882531,2239902,5956,98.32574771,58.98954391
Uttar Pradesh,Unnao,26.63163991,80.63677329,156,3108367,1630087,1478280,1773584,3476,90.68718418,57.05838468
Uttar Pradesh,Varanasi,25.36057089,82.82529667,197,3676841,1921857,1754984,2403903,19214,91.31709591,65.37957448
Uttaranchal,Almora,29.68353213,79.50165064,64,622506,291081,331425,436497,1830,113.8600596,70.11932415
Uttaranchal,Bageshwar,29.98703393,79.83954354,63,259898,124326,135572,179483,435,109.0455737,69.05901546
Uttaranchal,Chamoli,30.58338611,79.56281096,57,391605,193991,197614,280556,899,101.8676124,71.64259905
Uttaranchal,Champawat,29.29142394,80.07720212,65,259648,131125,128523,177726,548,98.01563394,68.44882302
Uttaranchal,Pithoragarh,30.14720632,80.34229231,62,483439,239306,244133,345550,1344,102.0170827,71.47747699
Uttaranchal,Tehri Garhwal,30.46370092,78.48783793,59,618931,297986,320945,407994,1366,107.7047244,65.91914123
Uttaranchal,Udham Singh Nagar,29.02779578,79.45629005,67,1648902,858783,790119,1037839,7883,92.00449939,62.94121785
Uttaranchal,Uttarkashi,30.96895855,78.56880615,56,330086,168597,161489,215126,602,95.78402937,65.17271257
West Bengal,Bankura,23.08128089,87.12640054,339,3596674,1838095,1758579,2232992,4273,95.67399944,62.08491512
West Bengal,Barddhaman,23.44445389,87.81505811,335,7717563,3966889,3750674,5247208,32323,94.54950718,67.99047834
